FH	4.18807e+06	
GJA1	4.17226e+06	
WAS	4.16434e+06	
TSC1	4.14829e+06	
PARD3	4.13597e+06	
RBBP8	4.12333e+06	
TUBB2A	4.10001e+06	
ILF3	4.09647e+06	
TUBB4B	4.08375e+06	
PLK4	4.08347e+06	
ITGB3	4.06549e+06	
CAPN1	4.05568e+06	
XRCC1	4.03827e+06	
CAV1	4.03321e+06	
SIN3B	4.03218e+06	
FGFR1	4.02828e+06	
YY1	4.00661e+06	
CD86	4.00467e+06	
JARID2	3.97684e+06	
BRIP1	3.96539e+06	
LARP7	3.93498e+06	
LMNA	3.90164e+06	
MCM6	3.88794e+06	
GHR	3.88536e+06	
TBK1	3.79189e+06	
IL1B	3.77567e+06	
DDX58	3.76772e+06	
REL	3.74697e+06	
SKIV2L	3.73802e+06	
CTNND1	3.73312e+06	
RPS6	3.72533e+06	
GTPBP4	3.71404e+06	
CANX	3.65138e+06	
BCAR1	3.63358e+06	
INHBA	3.63113e+06	
TCF7L2	3.60547e+06	
LAMC1	3.60168e+06	
BRPF1	3.5986e+06	
DYNC1I1	3.59126e+06	
ITGA4	3.57485e+06	
TIMELESS	3.56159e+06	
TNK2	3.55793e+06	
MCM2	3.55144e+06	
RPLP0	3.53508e+06	
PRF1	3.52781e+06	
POLR2B	3.51368e+06	
CD47	3.50242e+06	
CADM1	3.49514e+06	
LTBP1	3.46312e+06	
SELE	3.45707e+06	
RNF43	3.44677e+06	
XRN1	3.43791e+06	
ELL	3.40745e+06	
CLSPN	3.40596e+06	
KDM2B	3.3946e+06	
SKP2	3.39039e+06	
TAF9	3.37986e+06	
MAPK9	3.37929e+06	
MCM7	3.37548e+06	
COL5A2	3.37469e+06	
BMI1	3.37293e+06	
ATF3	3.34761e+06	
CDC73	3.34701e+06	
SPP1	3.34697e+06	
RBBP5	3.33241e+06	
TLR8	3.30903e+06	
HSPB1	3.29182e+06	
UHRF1	3.26796e+06	
MEFV	3.23865e+06	
CD34	3.2351e+06	
CCNL2	3.22918e+06	
RAD51D	3.22377e+06	
SDHA	3.22058e+06	
KCND2	3.2163e+06	
GUCY1A1	3.21322e+06	
HIRA	3.20822e+06	
UBA52	3.18708e+06	
DST	3.18656e+06	
MYO6	3.18088e+06	
DDB2	3.16328e+06	
TFDP1	3.15691e+06	
EDNRB	3.15268e+06	
ATF6	3.1505e+06	
NUP153	3.14597e+06	
ZAP70	3.13127e+06	
RNF2	3.12821e+06	
CLPB	3.12576e+06	
LEF1	3.12474e+06	
SMO	3.1174e+06	
NEDD8	3.11217e+06	
IRF8	3.10047e+06	
MPDZ	3.07904e+06	
NCAPD3	3.05615e+06	
PTTG1	3.04256e+06	
MLLT10	3.03137e+06	
TUBB	3.02849e+06	
CR1	3.02275e+06	
CDH5	3.02037e+06	
OGDH	3.01572e+06	
CD1D	3.00065e+06	
EED	2.97832e+06	
FANCI	2.9585e+06	
MYD88	2.95493e+06	
DUOX2	2.94454e+06	
NPM1	2.94216e+06	
INCENP	2.93859e+06	
POLB	2.93146e+06	
GATA2	2.93102e+06	
STIL	2.9271e+06	
KIF23	2.91326e+06	
EIF3A	2.91022e+06	
IRAK1	2.91004e+06	
CD8A	2.90507e+06	
CASP7	2.90309e+06	
UFL1	2.90027e+06	
CBX2	2.89638e+06	
