TCGA-CJ-6032	VHL,APOB,AFDN,QSER1
TCGA-BP-5202	LAMB1,COL6A6,KDM5C,MUC16
TCGA-B0-5713	EP300,VHL,ARID1A,ESPL1,PBRM1,DNAH17,FAT1,ATRX,PDZD2,LRRCC1,SVEP1
TCGA-BP-4977	THBS1,TNC,VHL,RANBP2,CUBN,BIRC6,FBN2
TCGA-B8-4143	GRIN2B,COL6A3,ESPL1,TTN,KMT2D,CUBN,HYDIN,BAZ2B,BAP1,PKHD1
TCGA-BP-4964	NOS1,ATM,VHL,SMARCA4,TTN,PBRM1,KMT2D,LRP1,PLXNA4,ZZEF1,DENND4A,SVEP1,MUC16
TCGA-B0-5697	MTOR,ANK2,DNAH2,FREM2,PKHD1L1
TCGA-B0-5106	VHL,HSPA8,TRIOBP,KDM5C,UTRN,PKHD1L1
TCGA-CZ-5988	COL6A6,TTN,MACF1,MAST4
TCGA-CZ-5452	LAMA2,LYST,BAP1,RALGAPA1
TCGA-B8-A54G	RYR2,BAP1,ADGRV1
TCGA-CW-5591	NOS1,VHL,SETD2,DST,FLRT2
TCGA-CJ-5686	ATM,VHL,RYR1,DNAH8,ZFPM2,CENPF,IGSF10,SACS,SPHKAP,ZNF318,ALPK2
TCGA-B8-5551	LAMA1,RYR3,VHL,FAT4,BAP1
TCGA-B0-4842	NCOR1,VHL,ANK2,PBRM1,DNAH10,IGSF10,BAP1,RTTN,FCGBP
TCGA-B0-5707	RYR2,ARID1A,PATJ,BCORL1,CENPF,DST,DENND4A,ALPK2
TCGA-A3-3349	VHL,COL6A3,RGS3,ADAMTS12
TCGA-A3-3326	LAMA1,HSPA8,VHL,TTN,UBR4,PBRM1
TCGA-CJ-5676	VHL,PBRM1,SETD2,AHNAK,ADAMTS12,UTRN,WDFY3,NAV3,ADGRV1,MUC17,PKHD1
TCGA-G6-A5PC	RYR3,DYNC2H1,RTTN,BAP1
TCGA-B8-A54H	ERBB4,VHL,SMARCA4,DNAH7,TENM1,PCDH15,ZNF318
TCGA-CJ-5679	MTOR,ERBB4,PBRM1,DNAH17,XIRP2,SRCAP,CHD7,MAST4,CSMD3
TCGA-CW-5581	USP34,KDM5C,SLITRK6,FLRT2
TCGA-CJ-4916	PBRM1,DNAH10,STAG2
TCGA-A3-3385	LAMA2,ZEB2,SPHKAP,MYH2
TCGA-B0-5075	VHL,MUC2,ABCA8,BAP1,MUC16,FCGBP
TCGA-CW-5589	PBRM1,RANBP2,CUBN,TRIOBP,DENND4A
TCGA-CJ-6033	PBRM1,DNAH3,COL24A1,FAT1,PDZD2,MACF1,CENPF,XIRP2,SAMD9
TCGA-CZ-5455	ANK3,PBRM1,FBN1,SYNE2
TCGA-B8-5553	ERBB4,MAP3K4,HERC1,FLG
TCGA-B0-4852	MTOR,VHL,RYR1,COL4A5,PBRM1,SETD2,TTN,DNAH8,UTRN,DIP2C,FAT1
TCGA-AS-3778	NOS1,RYR1,VHL,TLN2,DYNC1H1,DST,SYNE1,VPS13B,PKHD1,FAT3,CSMD3,MUC16,NYNRIN
TCGA-A3-3317	ATM,STAG2,DNAH3,HERC2,BAP1
TCGA-CJ-5671	COL6A3,DYNC2H1,SETD2,CUBN,PBRM1,FBN2
TCGA-B0-5701	NOTCH2,TTN,KMT2D,DNAH2,DYNC2H1,BCORL1,CSMD3,SYNE1,NEB
TCGA-CZ-5451	ATM,ROCK1,LAMA4,LAMA1,PBRM1,DYNC1H1,BIRC6,DOCK4,CNOT1,KIF1B
TCGA-B2-5641	CACNA1S,BRCA2,MED13,TTN,ABCA1,KDM5C,FBN2,RTTN
TCGA-B0-5097	ATM,VHL,PBRM1,KMT2C,DNAH7,DNAH11,ALMS1,BAP1,SVEP1
TCGA-B0-5099	ROCK1,THBS1,VHL,HSPA8,KMT2C,PCLO,IGF2R,AHNAK2,CNOT1,NAV3,CENPF
TCGA-A3-A8OX	VHL,ANK2,MAP3K4,DNAH2
TCGA-A3-3313	TTN,PRKDC,KMT2C,FAT4,TACC2,FBN2,ZFHX4,MYCBP2,PKHD1,DIP2C
TCGA-A3-A6NN	ATM,DMD,PBRM1,LRP2,BIRC6,ABCA13,SYNE2,QSER1,UTRN,LRRCC1,MUC16
TCGA-BP-5174	VHL,MYH7,FAT4,KIAA1549L
TCGA-A3-3372	LAMA2,VHL,PBRM1,DNAH9,PCLO,MYCBP2,VPS13C,MUC17
TCGA-B8-A54J	COL4A5,PBRM1,MACF1,ROS1
TCGA-A3-3365	FN1,BRCA2,PRKDC,KMT2D,PBRM1,DCHS2
